"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"13589","Josh Allen","QB","BUF",339.21,25.7,20.7,355.16,368.06,366.18,352.63,355.77,25.4,399.94,20.7,19.1
"16162","Jahmyr Gibbs","RB","DET",326.8,2.48,1.3,405.8,363.5,367.4,344.8,370,17.9,381.6,1.3,1.3
"16161","Bijan Robinson","RB","ATL",315.4,4.13,2,355.1,350,366.9,346.86,353.61,19.8,388.7,2,2.4
"16211","Puka Nacua","WR","LAR",308.26,3.56,5,374.7,356.7,339.3,345.81,338,20.3,359.3,5,5.3
"13593","Lamar Jackson","QB","BAL",303.01,32.31,38.7,314.96,330.54,318.76,336.92,318.71,22.04,356.64,38.7,34.1
"15281","Ja'Marr Chase","WR","CIN",301.57,1.57,3.5,343.2,338.8,330.5,347.49,338.32,20.7,361.2,3.5,4.3
"16580","Drake Maye","QB","NEP",298.51,36.73,47.8,308.18,327.3,317.26,336.12,314.39,19.66,338.26,47.8,47
"14783","Jalen Hurts","QB","PHI",294.98,56.43,56.5,315.68,322.78,313.84,324.58,313.48,20.52,346.18,56.5,54.6
"13130","Christian McCaffrey","RB","SFO",294.47,9.28,5.9,320.6,343.8,345.9,322.66,331.09,21.2,345.8,5.9,7.7
"12620","Dak Prescott","QB","DAL",292.06,77.13,73.1,310.46,290.92,293.66,339.74,304.12,19.08,325.76,73.1,71.8
"16581","Jayden Daniels","QB","WAS",291.89,58.3,55.5,317.24,318.74,309,277.59,301.83,19.92,349.74,55.5,52.9
"14777","Joe Burrow","QB","CIN",291.86,44.94,50.3,299.22,306.14,301.32,315.19,302.38,22.4,336.06,50.3,53.4
"15287","Amon-Ra St. Brown","WR","DET",291.79,5.29,7.9,318.8,321.9,318.1,374.91,333.67,18.1,316.8,7.9,8.4
"15237","Trevor Lawrence","QB","JAC",291.3,75.56,83.6,310.72,295.34,290.02,321.23,298.98,20.46,336.56,83.6,102
"16185","Jaxon Smith-Njigba","WR","SEA",287.68,4.78,7.3,345.4,330.4,308.1,321.51,324.12,17.5,336.7,7.3,6.3
"15698","Brock Purdy","QB","SFO",287.19,96.46,98.4,304.24,292.82,290.96,319.87,296.81,21.56,305.12,98.4,110
"13116","Patrick Mahomes","QB","KCC",281.36,102.46,103.8,302.82,290.74,284.74,308.49,294.28,20.6,302.74,103.8,109.1
"14802","Jonathan Taylor","RB","IND",274.84,12.01,6.2,332.6,317.2,291.6,305.38,309.55,18.2,325.6,6.2,6.2
"14779","Justin Herbert","QB","LAC",273.29,72.31,70.3,296.44,288.56,290.78,311.35,NA,21.06,332.76,70.3,85.5
"17032","Jaxson Dart","QB","NYG",273.03,98.72,92.7,307.46,302.46,297.2,266.69,NA,22.4,339.24,92.7,83
"16579","Caleb Williams","QB","CHI",272.51,64.1,66.6,304.52,283.58,300.04,305.42,NA,20.74,336.94,66.6,88
"16167","De'Von Achane","RB","MIA",268.93,21.63,15.3,320,295.4,267.2,326.61,301.05,16.5,329.6,15.3,12.7
"16582","Bo Nix","QB","DEN",267.55,97.09,98.7,274.92,296.6,298.2,280.04,NA,20.8,326.04,98.7,103.7
"14056","Kyler Murray","QB","MIN",263.67,113.72,112.8,277.16,291.32,282.28,316.97,NA,15.46,283.78,112.8,137.3
"9431","Matthew Stafford","QB","LAR",263.51,105.2,99.6,279.48,301.06,285.88,306.06,NA,21.3,298.8,99.6,93.2
"12611","Jared Goff","QB","DET",262.34,105.01,113.4,282.6,275.76,291.36,307,NA,19,316.76,113.4,136.9
"13590","Baker Mayfield","QB","TBB",259.77,117.87,125.8,289.7,267.26,264.6,291.28,NA,18.18,314.66,125.8,146.7
"16181","Chase Brown","RB","CIN",254.81,17.1,15.7,303,271,265.3,308.98,286.21,15.8,308.4,15.7,17.3
"14832","CeeDee Lamb","WR","DAL",251.64,9.43,11.1,272.6,295.9,252.7,324,285.08,14.7,284.3,11.1,11.7
